school,position,matches,sets,kills,kills_per_set,errors,total_attacks,hitting_percentage,assists,assists_per_set,service_aces,service_aces_per_set,reception,reception_errors,digs,digs_per_set,block_solo,block_assist,block_total,blocks_per_set,points,points_per_set
Bethel (IN),OH,31,112,235,2.10,129,664,.160,10,0.09,0,0.00,142,12,60,0.54,5,32,37,0.33,256.0,2.3
Bethel (IN),S,31,111,1,0.01,5,21,-.190,482,4.34,50,0.45,11,2,144,1.30,0,0,0,0.00,51.0,0.5
Bethel (IN),DS,31,103,3,0.03,6,30,-.100,38,0.37,23,0.22,471,20,257,2.50,0,0,0,0.00,26.0,0.3
Bethel (IN),S,23,47,1,0.02,4,14,-.214,4,0.09,5,0.11,169,8,65,1.38,0,0,0,0.00,6.0,0.1
Bethel (IN),DS,31,107,1,0.01,3,15,-.133,15,0.14,24,0.22,482,32,204,1.91,0,0,0,0.00,25.0,0.2
Bethel (IN),LB,29,103,3,0.03,2,16,.063,67,0.65,18,0.17,362,17,358,3.48,0,0,0,0.00,21.0,0.2
Bethel (IN),RS,16,23,12,0.52,10,40,.050,2,0.09,0,0.00,0,0,5,0.22,1,11,12,0.52,18.5,0.8
Bethel (IN),S,31,113,198,1.75,65,511,.260,633,5.60,33,0.29,19,0,201,1.78,6,50,56,0.50,262.0,2.3
Bethel (IN),MB,31,113,257,2.27,64,546,.353,8,0.07,32,0.28,24,4,45,0.40,30,95,125,1.11,366.5,3.2
Bethel (IN),MB,30,109,266,2.44,88,533,.334,9,0.08,0,0.00,25,3,13,0.12,30,91,121,1.11,341.5,3.1
Bethel (IN),RS,29,100,130,1.30,69,409,.149,9,0.09,0,0.00,93,4,49,0.49,8,48,56,0.56,162.0,1.6
Bethel (IN),RS,19,37,26,0.70,14,91,.132,3,0.08,0,0.00,3,0,7,0.19,3,10,13,0.35,34.0,0.9
Bethel (IN),DS,9,11,1,0.09,0,3,.333,0,0.00,0,0.00,14,2,7,0.64,0,0,0,0.00,1.0,0.1
Bethel (IN),OH,31,113,275,2.43,132,753,.190,12,0.11,0,0.00,91,6,65,0.58,6,38,44,0.39,300.0,2.7
